Id,SalePrice
1461,122580.14761862314
1462,146588.7348993388
1463,177028.8285111855
1464,189838.56572908795
1465,198232.93979906314
1466,175063.94450186976
1467,168742.8443553216
1468,172986.72844416622
1469,187421.77561672978
1470,126374.42384180805
1471,200608.39925122086
1472,103450.26882798641
1473,103177.47314606963
1474,157190.35665338387
1475,133360.3921336726
1476,354596.91064833064
1477,241137.0433723915
1478,294855.10219582083
1479,262890.8383713063
1480,440392.79346353817
1481,307556.20292726945
1482,199960.11181119015
1483,168316.81439428922
1484,182279.86374455848
1485,195072.85828115587
1486,192952.36451863914
1487,357896.8617565391
1488,237605.55129222854
1489,191124.27556895086
1490,215779.28262011977
1491,194781.26275420075
1492,98776.1530218515
1493,183106.3590555927
1494,277352.34606130334
1495,273052.8050655549
1496,230591.97110107925
1497,175233.325990017
1498,165139.8546384128
1499,163965.2572461508
1500,144775.0784629171
1501,171290.08346327665
1502,172573.53392064586
1503,270475.1994867382
1504,233713.13149637193
1505,220471.8364759553
1506,184586.37546552328
1507,212745.84585005036
1508,194649.21303583425
1509,167093.8799325726
1510,146174.8062540049
1511,147227.5348799734
1512,183526.81589647697
1513,145295.35202241538
1514,145314.50800234376
1515,199600.2731971017
1516,141864.80087532883
1517,154022.94402974527
1518,132572.56302626865
1519,216580.11328460887
1520,135698.13933476235
1521,133469.8392559838
1522,159438.95802561915
1523,111875.58106224632
1524,123755.74025280865
1525,122634.18437691715
1526,120535.2576064961
1527,103519.68829420001
1528,136129.1729318425
1529,144266.08943120943
1530,183049.71990487722
1531,130566.77624860853
1532,106951.43515955374
1533,145574.79279621193
1534,118575.22950090353
1535,146891.6873491939
1536,110109.31785789764
1537,72750.85967801647
1538,161967.4453457724
1539,207619.75660275752
1540,100899.9545371652
1541,143078.85121593927
1542,136005.33980289867
1543,194134.5570944726
1544,86149.12018910488
1545,112820.01561509194
1546,130180.61328425154
1547,139876.30568835605
1548,139922.22237454916
1549,115961.72468680315
1550,138099.05088027727
1551,108745.29194373249
1552,140909.99524744204
1553,138483.54708364443
1554,125650.5063995387
1555,148670.42405350006
1556,100355.89698413709
1557,115378.624049331
1558,93561.75085404079
1559,95171.58883652737
1560,135755.96803193243
1561,141669.809043527
1562,134010.67229967244
1563,122777.24215950328
1564,156966.09319262402
1565,159727.70149382754
1566,212710.5672550329
1567,81719.33522672582
1568,221745.88592105667
1569,138415.26309959433
1570,127595.04790926732
1571,126380.0392779664
1572,142594.83387813324
1573,221820.9482718004
1574,96976.34820072296
1575,207897.82367366127
1576,235006.28664489946
1577,191845.26940295985
1578,140780.66082496435
1579,134366.40307925022
1580,194277.00894037716
1581,145713.98427252055
1582,131154.63542847746
1583,316442.14871803235
1584,223760.2474376554
1585,137046.08753500617
1586,77372.15417825159
1587,106033.5518546626
1588,146013.9737839367
1589,104657.64367687558
1590,139265.3785634001
1591,102726.47536195931
